数据期,行业代码,门类代码,门类内容,大类代码,大类内容,中类代码,中类内容,小类代码,小类内容,经度,维度,注册资本(人民币元),企业经营日期,企业登记设立日期,企业缴纳社保人员数
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.800112,22.741062,11400000,2003/8/1,1992/5/15,51
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.790470,22.736156,19000000,2005/7/1,1992/5/27,100
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.795514,22.738863,12490000,2003/8/1,1992/5/29,106
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.900986,22.56333,2471000000,2000/9/1,1992/6/6,105
2015,K7010,K,房地产业,70,房地产业,701,房地产开发经营,7010,房地产开发经营,113.867767,22.575346,100000000,2013/5/1,1992/8/3,88
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.818633,22.716547,79998700,1993/1/1,1992/9/9,57
2015,K7010,K,房地产业,70,房地产业,701,房地产开发经营,7010,房地产开发经营,113.888365,22.554606,113880000,2001/7/1,1992/9/11,22
2015,G5429,G,交通运输、仓储和邮政业,54,道路运输业,542,公路旅客运输,5429,其他公路客运,113.894615,22.557655,28000000,2004/2/1,1992/9/18,165
2015,K7010,K,房地产业,70,房地产业,701,房地产开发经营,7010,房地产开发经营,113.874612,22.555024,50000000,2003/4/1,1992/10/20,22
2015,C3861,C,制造业,38,电气机械和器材制造业,386,非电力家用器具制造,3861,燃气及类似能源家用器具制造,113.836009,22.592373,50000000,1993/1/1,1992/12/9,122
2015,L7297,L,租赁和商务服务业,72,商务服务业,729,其他商务服务业,7297,商务代理代办服务,113.909649,22.561862,27496906,1993/1/1,1993/2/11,100
2015,L7271,L,租赁和商务服务业,72,商务服务业,727,安全保护服务,7271,安全服务,113.893885,22.579863,86000000,1999/7/1,1993/3/20,16748
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.837714,22.735248,38000000,2006/8/1,1987/7/5,432
2015,E4790,E,建筑业,47,房屋建筑业,479,其他房屋建筑业,4790,其他房屋建筑业,,,6200000,1993/1/1,1993/4/26,300
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.867143,22.664259,11250000,2003/8/1,1993/4/26,51
2015,L7211,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7211,企业总部管理,113.845661,22.621408,15000000,2003/10/1,1993/4/30,48
2015,M7483,M,科学研究和技术服务业,74,专业技术服务业,748,工程技术与设计服务,7483,工程勘察活动,113.915207,22.557409,10660000,1997/11/1,1993/5/3,70
2015,E4812,E,建筑业,48,土木工程建筑业,481,铁路、道路、隧道和桥梁工程建筑,4812,公路工程建筑,113.902985,22.560325,58000000,1996/5/1,1993/6/7,157
2015,K7020,K,房地产业,70,房地产业,702,物业管理,7020,物业管理,113.908657,22.556895,5055000,1993/1/1,1993/6/18,1193
2015,L7211,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7211,企业总部管理,113.846467,22.765073,20000000,1993/1/1,1993/7/6,85
2015,K7010,K,房地产业,70,房地产业,701,房地产开发经营,7010,房地产开发经营,113.914612,22.573696,,2015/12/1,1899/12/30,249
2015,D4610,D,电力、热力、燃气及水生产和供应业,46,水的生产和供应业,461,自来水生产和供应,4610,自来水生产和供应,113.855272,22.774950,35294118,1995/4/1,1986/5/28,210
2015,K7010,K,房地产业,70,房地产业,701,房地产开发经营,7010,房地产开发经营,113.889341,22.557675,500000000,2000/10/1,1993/8/16,52
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.835558,22.718164,1300000,2000/12/1,1993/9/10,73
2015,K7020,K,房地产业,70,房地产业,702,物业管理,7020,物业管理,113.852311,22.767324,500000,2006/6/1,1993/9/23,132
2015,K7010,K,房地产业,70,房地产业,701,房地产开发经营,7010,房地产开发经营,113.877658,22.56377,100000000,2007/3/1,1993/10/20,63
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.864648,22.604527,100000000,1993/7/1,1993/11/5,43
2015,M7482,M,科学研究和技术服务业,74,专业技术服务业,748,工程技术与设计服务,7482,工程监理服务,113.904088,22.548701,3000000,1993/4/1,1993/11/29,95
2015,D4610,D,电力、热力、燃气及水生产和供应业,46,水的生产和供应业,461,自来水生产和供应,4610,自来水生产和供应,113.875653,22.797405,3000000,2006/2/1,1993/12/7,47
2015,K7010,K,房地产业,70,房地产业,701,房地产开发经营,7010,房地产开发经营,113.908657,22.556895,850000000,2010/10/15,1993/12/15,65
2015,F5263,F,批发和零售业,52,零售业,526,汽车、摩托车、零配件和燃料及其他动力销售,5263,汽车零配件零售,113.902368,22.567117,5100000,2007/10/1,1993/12/18,62
2015,K7020,K,房地产业,70,房地产业,702,物业管理,7020,物业管理,113.895062,22.587167,63000000,1994/1/1,1994/1/5,1498
2015,L7211,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7211,企业总部管理,113.902498,22.560229,11000000,1996/5/1,1994/1/3,49
2015,E4813,E,建筑业,48,土木工程建筑业,481,铁路、道路、隧道和桥梁工程建筑,4813,市政道路工程建筑,113.913006,22.576056,80000000,2001/12/1,1994/1/21,228
2015,K7010,K,房地产业,70,房地产业,701,房地产开发经营,7010,房地产开发经营,113.90079,22.554652,100000000,2000/4/1,1994/4/5,16
2015,L7212,L,租赁和商务服务业,72,商务服务业,721,组织管理服务,7212,投资与资产管理,113.825234,22.725857,148000000,2004/9/1,1994/5/21,40
2015,G5443,G,交通运输、仓储和邮政业,54,道路运输业,544,道路运输辅助活动,5443,公路管理与养护,,,12880000,1996/5/1,1994/6/30,65
2015,P8334,P,教育,83,教育,833,中等教育,8334,普通高中教育,113.843269,22.648212,20000000,2001/4/1,1994/6/27,542
